Ticker,Price,Price_Date,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
MELI,1921.96,2026-08-20,USD,1.0,35182000000.0,1863000000.0,36.747591582967104,36.747591582967104,3892000000.0,42667000000.0,6748000000.0,11392000000.0,5513000000.0,2907000000.0,2605000000.0,742000000.0,50697200.0,42.6752316525496,8.262747996134387,5.295321471206868,11.062475129327497,2026,2026-06-30,USD,False,0.276081802015412,0.043663721377176744,0.16464554293445768,52.30165888996243,53.64896438191376,14.44,26.55,2.94,1.6882039122703023,1.172528201725282,4940000000.0,
META,545.83,2026-08-20,USD,1.0,228247000000.0,68098000000.0,26.918865500543532,26.918865500543532,109656000000.0,366021000000.0,217243000000.0,83897000000.0,81592000000.0,86927000000.0,87525000000.0,19427000000.0,2529750000.0,81.74784334514801,38.08461885588857,29.83522236874964,48.04269059396181,2026,2026-06-30,USD,False,0.3134646455812155,0.1860494343220744,0.3080544197406292,20.276857506828396,18.537168288073243,6.36,12.61,6.06,0.38618965858508675,2.5987666124868536,66886000000.0,
MNDY,91.3,2026-08-20,USD,1.0,1301012000.0,119351000.0,2.3543203270274438,2.3543203270274438,22613000.0,2106600000.0,1246836000.0,168767000.0,1665457000.0,8210000.0,62004000.0,-57347000.0,50694461.0,89.05329082283637,0.6310472155522009,9.17370477751166,1.7381084878540707,2026,2026-03-31,USD,False,0.09572309429628276,0.056655748599639226,-0.06325038961776967,38.77976966510545,10.684036360007358,3.71,138.49,2.41,0.13535621364798578,2.5026284352207524,1074190000.0,
MNST,47.49,2026-08-20,USD,1.0,9218956000.0,2127670000.0,2.176033431021161,2.176033431021161,2808606000.0,9988945000.0,8254108000.0,,2765201000.0,2688386000.0,2776221000.0,648551000.0,977774500.0,55.54644148426351,29.161501584344258,23.0792944450543,30.465553800235078,2026,2026-06-30,USD,False,0.25777103958416825,0.21300247423526708,0.37536691211183,21.824113234195153,15.065918784605755,5.63,15.55,4.74,0.0,3.7029686830872093,3913304000.0,
MSFT,481.15,2026-08-20,USD,1.0,331839000000.0,133749000000.0,18.00302856950567,18.00302856950567,198685000000.0,758376000000.0,442387000000.0,56826000000.0,76651000000.0,155237000000.0,165934000000.0,32185000000.0,7429250000.0,67.9440933705803,46.780818408927225,40.30538905915218,59.873914759868484,2026,2026-06-30,USD,False,0.30233483352811,0.17636238488559763,0.2961146969496653,26.726058792962938,20.3380583711494,8.08,17.89,10.71,0.12845314170624364,1.2303272619576484,38885000000.0,
NFLX,80.14,2026-08-20,USD,1.0,48370764000.0,13649642000.0,3.2333896388226813,3.2333896388226813,32023120000.0,55596993000.0,26615488000.0,14462836000.0,9062359000.0,14354517000.0,16492823000.0,2843181000.0,4221465250.0,49.11787210969006,29.676018762077028,28.218785214969934,66.20346124779009,2026,2026-06-30,USD,False,0.5128458287144688,0.24551043614894785,0.37106351155703593,24.785135400254454,15.547134126754791,12.71,10.73,7.11,0.5433992418249104,1.185709316059751,2039261000.0,
NVDA,216.85,2026-08-20,USD,1.0,253491000000.0,159613000000.0,6.562832149501968,6.562832149501968,165514000000.0,206803000000.0,157293000000.0,11040000000.0,62556000000.0,162285000000.0,189443000000.0,29830000000.0,24320750000.0,74.1454331711974,64.02002437956376,62.9659435640713,65.29383686205821,2027,2026-04-30,USD,False,1.0147495438449263,0.7718118209116889,1.292637741999258,33.04213715361531,14.943256740785396,33.53,31.55,20.6,0.07018748450344262,3.905263812455306,93442000000.0,roic=1.29 high (cash_heavy?)
OLLI,74.75,2026-08-20,USD,1.0,2731359000.0,249436000.0,4.075252215823224,4.075252215823224,368434000.0,2954953000.0,1888076000.0,685928000.0,296308000.0,336103000.0,329933000.0,80497000.0,61207500.0,40.70783079045999,12.305339576379378,9.13230373597905,13.489036043961999,2027,2026-04-30,USD,False,0.13211120738783821,0.0844128485292321,0.11156038575714182,18.34242300630222,14.6581242455959,2.42,13.48,1.82,0.3632946978829242,2.4074661379255233,563617000.0,
PDD,89.52,2026-08-20,USD,1.0,62848878231.0,13524294998.0,9.655305903953531,9.655305903953531,13699594343.0,90101582673.0,59117517948.0,769212453.0,60393597374.0,13699594343.0,16542218186.0,3037274919.0,1400711188.0,55.97626786733019,21.79767519901425,21.518753204573027,21.79767519901425,2026,2026-03-31,USD,True,0.228769668753731,0.1501005265076046,-22.065447133965293,9.271586098928724,10.687994941402938,2.12,4.8,1.05,0.013011582351060522,2.4281218697536033,43652250092.955414,
PEP,142.08,2026-08-20,USD,1.0,96904000000.0,10451000000.0,7.643335222808072,7.643335222808072,18720000000.0,107399000000.0,20547000000.0,49901000000.0,9530000000.0,14495000000.0,13153000000.0,2638000000.0,1367335030.0,53.95649302402378,14.958102864690828,10.784900520102369,19.31808800462313,2026,2026-06-30,USD,False,0.5086387307149463,0.09731003081965381,0.1902203778576437,18.588743769346475,16.97818764246016,9.45,12.53,2.42,2.4286270501776417,0.8530399218654621,-4815000000.0,
