Ticker,Name,Sector,Industry,Strategy,Active,Currency,FX_to_USD,verify_fx_handling,Price,Price_USD,EMA_20,EMA_50,EMA_200,RSI_14,ATR_14,Dist_EMA_20_pct,Risk_Score,Date,Market_Cap_B_USD,EV_B,Revenue_B,Net_Income_B,EBITDA_B,FCF_B,ROE_pct,ROA_pct,ROIC_pct,PE,PB,EV_EBITDA,EV_Sales,DE,Current_Ratio,FCF_Yield_pct
OKLO,,Utilities,Independent power producers,Especulativa,TRUE,USD,1.0,false,41.86,41.86,43.61411400969793,47.665773197655874,61.37481021849094,51.12201963534362,3.0907142857142844,-4.190430027945364,19.0,2026-08-21,6.13,4.9,,-0.11,-0.14,-0.12,-7.16,-6.91,-55.79,-57.98,4.15,-35.31,,0.0,49.08,-1.88
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Retail trade,Department stores,,TRUE,USD,1.0,false,75.9151,75.92,75.4795295253082,75.36521800552805,90.7997045350345,52.90570405739062,3.0662928571428583,0.5737599959583809,25.0,2026-08-21,4.69,5.08,2.65,0.24,0.38,0.3,12.74,8.14,14.18,19.35,2.48,13.43,1.92,0.36,2.41,6.32
ONON,On Holding AG,Consumer non-durables,Apparel/Footwear,,TRUE,CHF,1.13,true,30.16,34.080799999999996,33.56002857259297,35.43095186361244,39.32502924504801,25.37926675094816,1.7053571428571437,-11.273304285785708,28.5,2026-08-21,22.14,19.03,3.01,0.2,0.5,0.28,12.48,7.18,35.05,94.03,12.0,37.74,6.32,0.32,2.71,1.43
ORCL,Oracle Corporation,Technology services,Packaged software,,TRUE,USD,1.0,false,143.41,143.41,143.1032447266367,148.6463930692086,172.01496358870477,51.65886856656742,5.37357142857143,0.213900894891087,25.0,2026-08-21,417.9,542.19,67.36,17.09,31.74,31.98,39.69,6.53,13.41,24.15,9.71,17.08,8.05,3.63,1.12,7.65
OSCR,,Finance,Real estate investment trusts,,TRUE,USD,1.0,false,31.36,31.36,30.580698018786244,28.926757969870216,22.223850384755515,51.78777393310266,1.9497285714285717,2.4850190727479458,25.0,2026-08-21,8.23,4.67,11.7,-0.44,,1.06,-45.19,-7.01,,-18.57,8.39,,0.4,0.44,,12.86
OXY,Occidental Petroleum Corporation,Energy minerals,Integrated oil,,TRUE,USD,1.0,false,61.58,61.58,58.06668766608904,56.44313481363087,52.97547370317532,72.28300510576223,1.5585714285714285,5.705281477607925,27.0,2026-08-21,61.59,82.97,21.59,2.33,11.26,10.53,6.36,2.76,6.42,36.47,1.68,7.37,3.84,0.64,0.94,17.1
PAGS,PagSeguro Digital Ltd.,Commercial services,Miscellaneous commercial services,Core,TRUE,BRL,0.18,true,8.59,1.5462,8.920864786070505,9.120370042649473,9.503274438381322,20.29411764705884,0.2885357142857144,-3.85174372608271,27.0,2026-08-21,0.46,41.18,20.41,2.12,9.89,5.29,14.47,2.85,15.17,1.2,0.17,4.17,2.02,2.94,1.36,206.55
PATH,"UiPath, Inc.",Technology services,Packaged software,,TRUE,USD,1.0,false,15.945,15.95,14.65708038709424,13.17723083085585,12.468075649317964,70.84233261339094,0.8574999999999996,8.077263172817563,27.0,2026-08-21,8.69,7.3,1.61,0.28,0.07,0.35,13.56,8.88,8.21,30.39,4.17,98.96,4.53,0.04,2.48,4.05
PDD,PDD Holdings Inc.,Retail trade,Department stores,,TRUE,CNY,0.14,true,88.56,12.398400000000002,87.97387197179293,87.51153091124176,97.55776540942544,45.966514459665134,2.264285714285716,0.6618428502789869,25.0,2026-08-21,18.38,-285.65,431.85,97.84,96.1,105.79,23.67,15.53,-2626.8,1.27,0.32,-2.97,-0.66,0.01,2.43,80.59
PEP,"PepsiCo, Inc.",Consumer non-durables,Food: specialty/candy,,TRUE,USD,1.0,false,142.49,142.49,140.1275628494082,141.15803002124392,146.57079306746368,60.89922409719368,2.2332142857142907,1.657966980554286,25.0,2026-08-21,195.64,236.01,93.92,8.24,17.67,12.09,40.1,7.67,22.15,23.64,9.52,13.36,2.51,2.43,0.85,6.18
PFE,"Pfizer, Inc.",Health technology,Pharmaceuticals: major,,TRUE,USD,1.0,false,27.955,27.95,26.566186472271998,25.90237912151718,25.82718189320382,77.77777777777771,0.6060714285714283,4.968032651504219,27.0,2026-08-21,159.71,210.07,62.58,7.77,24.0,9.07,8.96,3.73,12.69,20.44,1.84,8.75,3.36,0.74,1.16,5.68
PYPL,"PayPal Holdings, Inc.",Commercial services,Miscellaneous commercial services,,TRUE,USD,1.0,false,62.3812,62.38,58.94417861553294,54.37505629925168,53.456447150660495,77.80846237301508,1.1967857142857146,5.509707066338991,27.0,2026-08-21,60.39,59.95,33.17,5.23,7.36,5.56,25.83,6.53,32.27,11.43,2.98,8.15,1.81,0.49,1.29,9.21
RKLB,Rocket Lab Corporation,Electronic technology,Aerospace & defense,Especulativa,TRUE,USD,1.0,false,72.3,72.3,76.46732363572734,81.52348561706067,77.4455227765644,53.05625469878729,5.280871428571431,-5.763933106123572,25.0,2026-08-21,38.37,37.6,0.6,-0.2,-0.18,-0.32,-11.51,-8.53,-23.86,-193.57,22.28,-203.37,62.49,0.15,4.08,-0.84
RMS.PA,Hermes International SCA,Consumer non-durables,Apparel/Footwear,Core,TRUE,EUR,1.1,true,1561.5,1717.65,1592.447063252453,1618.5048134409467,1800.1754380646094,50.17006802721089,37.10714285714285,-1.981880451646049,25.0,2026-08-21,180.41,154.12,16.0,4.52,6.7,4.21,24.0,18.6,74.76,36.19,8.7,23.02,9.63,0.12,4.99,2.57
SAP,SAP SE,Technology services,Packaged software,,TRUE,EUR,1.1,true,215.575,237.127,199.6833076681434,185.09064445220167,198.03325784189693,80.09286128845034,5.482500000000004,7.371769607726581,28.75,2026-08-21,278.63,251.0,36.8,7.16,10.93,8.42,15.89,10.18,22.49,35.1,5.62,22.96,6.82,0.17,1.16,3.32
